"INSTNM","STABBR","ZIP","LOCALE","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"Herzing University-Orlando","FL","32792",21,5,33,0,50
"College of Biblical Studies-Houston","TX","77036-3211",11,6,50,50,
"The College of Health Care Professions-Northwest","TX","77092",11,6,26,33,25
"Southern California Institute of Technology","CA","92801-3758",11,8,50,51,33
"Soka University of America","CA","92656-8081",21,8,91,90,91
"World Mission University","CA","90020",11,8,100,100,100
"Schiller International University","FL","33602",11,5,0,0,0
"ASA College","NY","11201-9805",11,2,,,
"Yeshivas Novominsk","NY","11204-2138",11,2,0,0,
"Rabbinical College of Ohr Shimon Yisroel","NY","11211",11,2,44,44,
"Galen College of Nursing-Tampa Bay","FL","33716",11,5,,,
"Galen College of Nursing-San Antonio","TX","78229",11,6,,,
"Pacific Bible College","OR","97501",13,8,,,
"Florida National University-Main Campus","FL","33012",21,5,49,34,65
"South Texas College","TX","78501",12,6,13,14,12
"California State University-Monterey Bay","CA","93955-8001",22,8,60,55,63
"Remington College-Memphis Campus","TN","38132",11,5,60,60,60
"Capella University","MN","55402-3389",11,4,50,67,0
"College of Menominee Nation","WI","54135-1179",42,3,,,
"Pacific College of Health and Science","NY","10038",11,2,100,,100
"Trine University-Regional/Non-Traditional Campuses","IN","46825",11,3,0,0,0
"Southeast Missouri Hospital College of Nursing and Health Sciences","MO","63703-4507",13,4,,,
"Messenger College","TX","76021",21,6,46,33,75
"New York College of Health Professions","NY","11791-4413",21,2,,,
"Centura College-Chesapeake","VA","23320",21,5,,,
"University of Phoenix-Hawaii","HI","96707-2082",21,8,13,20,10
"Yeshiva D'monsey Rabbinical College","NY","10952",21,2,25,25,
"Living Arts College","NC","27614-7076",11,5,38,39,33
"Eastern International College-Jersey City","NJ","07306",11,2,33,,33
"Pacific College","CA","92626",12,8,,,
"Embry-Riddle Aeronautical University-Worldwide","FL","32114-3900",13,5,19,18,22
"Strayer University-Maryland","MD","20746",21,2,22,17,33
"San Juan Bautista School of Medicine","PR","00725-4968",13,9,33,25,40
"Yeshiva of the Telshe Alumni","NY","10471-2897",11,2,67,67,
"Platt College-Ontario","CA","91764",12,8,,,
"American University of Health Sciences","CA","90755-3612",21,8,0,,0
"Career Networks Institute","CA","92705",11,8,,,
"Carolinas College of Health Sciences","NC","28217",11,5,,,
"Western Governors University","UT","84107",21,7,64,53,72
"California Aeronautical University","CA","93308",21,8,,,
"Herzing University-New Orleans","LA","70002",12,5,32,25,36
"Florida Gulf Coast University","FL","33965-6565",21,5,56,50,61
"Ilisagvik College","AK","99723",41,8,,,
"Dewey University-Carolina","PR","00986",21,9,13,13,13
"Yeshiva College of the Nations Capital","MD","20902",21,2,29,29,
"Los Angeles Film School","CA","90028-7318",11,8,44,45,40
"International Baptist College and Seminary","AZ","85286",11,6,67,67,
"University of Connecticut-Waterbury Campus","CT","06702",22,1,65,64,67
"University of Connecticut-Avery Point","CT","06340-6097",22,1,56,53,63
"University of Connecticut-Stamford","CT","06901-2315",12,1,58,53,66
"University of Management and Technology","VA","22209-1609",12,5,0,0,0
"Stratford University","VA","22314",12,5,100,100,100
"American InterContinental University-Atlanta","GA","30328",12,5,25,11,36
"Cascadia College","WA","98011-8205",21,8,,,
"CBD College","CA","90010",11,8,,,
"The King's University","TX","76092",21,6,31,33,29
"Pacific Islands University","GU","96913",33,9,25,0,33
"PCI College","CA","90703",21,8,,,
"Acupuncture and Massage College","FL","33176",13,5,,,
"New Saint Andrews College","ID","83843-1525",32,7,52,50,53
"Atenas College","PR","00674-0000",21,9,28,16,35
"Pillar College","NJ","07102",11,2,23,30,17
"Oregon State University-Cascades Campus","OR","97702",13,8,50,50,50
"Southern University Law Center","LA","70813",12,5,32,28,35
"Triad Education","CA","90010",11,8,71,83,67
"Universidad Pentecostal Mizpa","PR","00928",11,9,0,0,0
"Nevada State College","NV","89002",41,8,29,25,30
"California State University-Channel Islands","CA","93012",22,8,58,52,61
"Franklin W Olin College of Engineering","MA","02492-1200",21,1,97,95,100
"Pennsylvania College of Health Sciences","PA","17601",21,2,,,
"St Louis College of Health Careers-Fenton","MO","63026",21,4,,,
"Grantham University","KS","66219",13,4,22,26,19
"University of the Potomac-VA Campus","VA","22043-2536",21,5,57,80,0
"Pacific College of Health Science-Chicago","IL","60601",11,3,,,
"University of Antelope Valley","CA","93534",21,8,51,53,50
"Faith International University","WA","98407-0186",12,8,25,0,50
"Family of Faith Christian University","OK","74802",42,6,0,0,
"West Coast University-Los Angeles","CA","91606",11,8,83,100,80
"Williamson Christian College","TN","37067",13,5,0,0,0
"DigiPen Institute of Technology","WA","98052",13,8,57,54,65
"Dewey University-Hato Rey","PR","00910",11,9,6,5,6
"American College of Healthcare Sciences","OR","97239",11,8,,,
"Strayer University-Tennessee","TN","38118",11,5,0,0,0
"Strayer University-Pennsylvania","PA","19053",21,2,100,,100
"Brookline College-Albuquerque","NM","87105",11,6,33,33,
"Hussian College-Daymar College Murfreesboro","TN","37128",12,5,14,13,14
"ATI College-Whittier","CA","90603-0000",21,8,,,
"Baptist University of the Americas","TX","78224-1364",11,6,35,27,50
"Beis Medrash Heichal Dovid","NY","11691-4433",11,2,20,20,
"Charlotte Christian College and Theological Seminary","NC","28227-9446",11,5,0,0,
"Nightingale College","UT","84111",12,7,,,
"American InterContinental University","AZ","85286",41,6,8,4,11
"American InterContinental University-Houston","TX","77042",11,6,33,17,44
"University of California-Merced","CA","95343-5603",41,8,72,69,74
"Remington College-North Houston Campus","TX","77067",11,6,64,40,83
"Central Methodist University-College of Graduate and Extended Studies","MO","65248-1198",32,4,0,0,0
"Neumont College of Computer Science","UT","84111-1917",12,7,54,55,48
"Johnson & Wales University-Charlotte","NC","28202",11,5,36,35,36
"Ave Maria University","FL","34142-9505",42,5,61,52,69
"Ecclesia College","AR","72762",41,5,17,25,0
"Los Angeles College of Music","CA","91105",12,8,59,60,57
"Maple Springs Baptist Bible College and Seminary","MD","20743",21,2,100,100,100
"SAE Institute of Technology-Nashville","TN","37203",11,5,,,
"Stanbridge University","CA","92612",11,8,96,100,91
"Uta Mesivta of Kiryas Joel","NY","10950",21,2,66,66,
"Harrisburg University of Science and Technology","PA","17101-2208",13,2,32,22,42
"Daytona College","FL","32174-8445",13,5,,,
"United States University","CA","92108",11,8,0,0,0
"AmeriTech College-Draper","UT","84020-6545",21,7,100,100,100
"Eagle Gate College-Layton","UT","84041",21,7,40,0,44
"SAE Expression College","CA","94608",21,8,29,29,29
"Georgia Gwinnett College","GA","30043",21,5,21,16,25
"SUM Bible College and Theological Seminary","CA","95762",41,8,24,27,20
"Eastern International College-Belleville","NJ","07109",21,2,73,0,77
"Rasmussen University-Illinois","IL","61108-2513",12,3,,,
"Strayer University-Florida","FL","33610",21,5,14,17,0
"Dewey University-Juana Díaz","PR","00910",23,9,11,19,8
"American Public University System","WV","25414",31,5,41,42,38
"Huntsville Bible College","AL","35811-1632",12,5,,,
"Gnomon","CA","90038",11,8,,,
"Bais Medrash Toras Chesed","NJ","08701",13,2,39,39,
"Visible Music College","TN","38103",11,5,14,22,0
"University of the West","CA","91770",21,8,50,50,50
"South University-Tampa","FL","33614-7095",11,5,30,50,17
"Strayer University-Delaware","DE","19801",13,2,0,0,
"Rasmussen University-Wisconsin","WI","54303-2349",12,3,0,,0
"Columbia Southern University","AL","36561-9000",31,5,24,27,20
"Miami Regional University","FL","33166",21,5,0,0,0
"Yeshivas Be'er Yitzchok","NJ","07208",21,2,11,11,
"Yeshiva Toras Chaim","NJ","08701",21,2,13,13,
"Talmudical Seminary of Bobov","NY","11219",11,2,30,30,
"Southwest University at El Paso","TX","79925",11,6,61,70,56
"CEM College-Bayamon","PR","00961",12,9,43,0,60
"Bryant & Stratton College-Wauwatosa","WI","53226",21,3,,,
"The Art Institute of Austin","TX","78602",32,6,27,30,21
"Remington College-Shreveport Campus","LA","71101",12,5,53,50,55
"Patrick Henry College","VA","20132",31,5,71,61,86
"Galen College of Nursing-Cincinnati","OH","45241",21,3,,,
"Strayer University-North Carolina","NC","27407-2638",11,5,0,0,
"Strayer University-New Jersey","NJ","08854",21,2,0,,0
"The King's College","NY","10004",11,2,58,52,60
"Chamberlain University-Illinois","IL","60101",21,3,73,100,69
"Chamberlain University-Ohio","OH","43219",11,3,50,,50
"Chamberlain University-Arizona","AZ","85021",11,6,67,,67
"Institute of Production and Recording","MN","55401",11,4,,,
"Laurus College","CA","93401",13,8,,,
"Yeshiva of Machzikai Hadas","NY","11219-1408",11,2,47,47,
"Providence Christian College","CA","91101",12,8,42,59,32
"Polytechnic University of Puerto Rico-Orlando","FL","32825",21,5,50,100,0
"University of Minnesota-Rochester","MN","55904",12,4,47,43,48
"Chamberlain University-Florida","FL","32256",11,5,0,,0
"Horizon University","IN","46236-2622",21,3,100,100,
"Angeles College","CA","90010",11,8,50,100,0
"Pacific Rim Christian University","HI","96819-2228",11,8,57,67,50
"American Business and Technology University","MO","64506",13,4,86,83,100
"Ascent College","VA","23666",12,5,0,0,
"West Coast University-Orange County","CA","92802",11,8,50,83,33
"West Coast University-Ontario","CA","91761",12,8,50,33,57
"The Art Institute of Virginia Beach","VA","23462",11,5,37,31,43
"Strayer University-Georgia","GA","30341",21,5,9,17,0
"Strayer University-South Carolina","SC","29607",13,5,0,,0
"Strayer University-Texas","TX","75234",11,6,17,25,0
"The Art Institute of San Antonio","TX","78230",11,6,24,17,32
"Unitek College","CA","94538",21,8,,,
"Gurnick Academy of Medical Arts","CA","94403",12,8,,,
"South University-Richmond","VA","23060",21,5,7,,7
"South University-Virginia Beach","VA","23452",11,5,0,0,0
"Compass College of Film and Media","MI","49503",12,3,73,65,86
"Touro University Worldwide","CA","90720",21,8,58,100,50
"Herzing University-Kenosha","WI","53140",22,3,44,0,57
"Herzing University-Brookfield","WI","53005",21,3,40,33,50
"Strayer University-Global Region","DC","20005",11,2,30,14,67
"Johnson & Wales University-Online","RI","02903",12,1,0,0,
"Fairfax University of America","VA","22030-0000",21,5,17,33,0
"Chamberlain University-Virginia","VA","22182",21,5,25,100,0
"National Paralegal College","AZ","85014-1561",11,6,9,0,11
"Carolina College of Biblical Studies","NC","28303-5157",12,5,100,,100
"New York Film Academy","CA","91505",12,8,58,54,64
"American Medical Sciences Center","CA","91204-5108",12,8,,,
"Manna University","NC","28314-2343",12,5,50,50,
"Simmons College of Kentucky","KY","40203-3322",11,5,43,50,0
"North American University","TX","77477-0000",21,6,29,25,38
"Keser Torah-Mayan Hatalmud","NJ","08701-2758",21,2,0,0,
"Millennia Atlantic University","FL","33178-2369",13,5,,,
"John Paul the Great Catholic University","CA","92025",21,8,62,58,67
"University of Connecticut-Hartford Campus","CT","06103",12,1,65,58,72
"Chamberlain University-Missouri","MO","63146",21,4,75,100,50
"Chamberlain University-Texas","TX","77041",11,6,0,,0
"Dewey University-Manati","PR","00674-0000",21,9,6,6,6
"Los Angeles Pacific University","CA","91773-1741",21,8,45,67,38
"South University-Savannah Online","GA","31406",12,5,4,3,5
"Criswell College","TX","75246-1537",11,6,43,40,50
"Beverly Hills Design Institute","CA","90211",21,8,,,
"American Medical Academy","FL","33186-4830",21,5,,,
"Chamberlain University-Georgia","GA","30342",12,5,40,,40
"Chamberlain University-Indiana","IN","46240",11,3,0,,0
"Sessions College for Professional Design","AZ","85281",12,6,,,
"Bais HaMedrash and Mesivta of Baltimore","MD","21209-1613",21,2,55,55,
"Yeshiva Gedolah Zichron Leyma","NJ","07083-3618",21,2,0,0,
"Be'er Yaakov Talmudic Seminary","NY","10977",21,2,57,57,
"South University-Austin","TX","78681-2300",41,6,20,0,25
"Bryant & Stratton College-Online","NY","14127",21,2,0,0,0
"Warner Pacific University Professional and Graduate Studies","OR","97215",11,8,100,100,
"Platt College-Riverside","CA","92507",11,8,,,
"Rasmussen University-Kansas","KS","66606",41,4,,,
"California Miramar University","CA","92108",11,8,39,41,0
"Midwives College of Utah","UT","84106",12,7,0,,0
"Grace Mission University","CA","92833-3860",21,8,44,0,57
"Mid-South Christian College","TN","38118-3151",11,5,100,,100
"Grace School of Theology","TX","77384-4894",12,6,0,0,
"Yeshiva Gedolah Kesser Torah","NY","10952-2127",21,2,39,39,
"Yeshiva Yesodei Hatorah","NJ","08701-4946",21,2,18,18,
"South University-High Point","NC","27265-8320",12,5,18,17,20
"Augusta University","GA","30912",12,5,50,42,55
"Middle Georgia State University","GA","31206",12,5,26,27,25
"Veritas Baptist College","IN","47025",41,3,33,25,50
"DeVry College of New York","NY","10016",11,2,32,31,33
"DeVry University-Arizona","AZ","85021",11,6,30,21,50
"DeVry University-California","CA","91764",12,8,9,6,12
"DeVry University-Colorado","CO","80234",21,7,75,67,100
"DeVry University-Florida","FL","33027",21,5,21,29,14
"DeVry University-Georgia","GA","30030",21,5,11,9,12
"DeVry University-Illinois","IL","60563",12,3,32,32,31
"DeVry University-Indiana","IN","46410",21,3,0,0,
"DeVry University-Missouri","MO","64131",11,4,67,67,
"DeVry University-Nevada","NV","89074",11,8,0,0,
"DeVry University-New Jersey","NJ","08830",21,2,12,16,0
"DeVry University-North Carolina","NC","28273",11,5,0,0,0
"DeVry University-Ohio","OH","43219",11,3,17,16,20
"DeVry University-Pennsylvania","PA","19034",21,2,30,43,0
"DeVry University-Tennessee","TN","37211",11,5,20,50,0
"DeVry University-Texas","TX","75063",11,6,25,14,100
"DeVry University-Virginia","VA","22202",12,5,0,0,0
"University of North Georgia","GA","30597",32,5,46,40,50
"South Georgia State College","GA","31533",33,5,,,
"Florida Polytechnic University","FL","33805-8531",41,5,56,55,59
"Antioch College","OH","45387",31,3,32,43,29
"Arizona State University Digital Immersion","AZ","85257",12,6,26,25,26
"Integrity College of Health","CA","91104",12,8,,,
"IGlobal University","VA","22182-2734",21,5,28,33,22
"University of Florida-Online","FL","32611",12,5,44,23,57
"University of Phoenix-Arizona","AZ","85040",11,6,9,8,9
"University of Phoenix-California","CA","91761",12,8,19,20,18
"University of Phoenix-Nevada","NV","89135",21,8,17,0,20
"University of Phoenix-Texas","TX","77079",11,6,18,6,31
"CEM College-Mayaguez","PR","00680-0000",13,9,58,33,71
"Minerva University","CA","94103",11,8,81,75,88
"Rabbinical College Ohr Yisroel","NY","11236",11,2,48,48,
"University of North Texas at Dallas","TX","75241",11,6,37,25,42
"Georgia Military College","GA","31061",32,5,,,
"West Coast University-Miami","FL","33178-2431",13,5,0,,0
"Lionel University","CA","93013-2912",22,8,,,
"California Intercontinental University","CA","92614",11,8,100,100,100
"American College of the Building Arts","SC","29403-4223",12,5,46,43,67
"Atlantis University","FL","33132",11,5,78,73,86
"Bet Medrash Gadol Ateret Torah","NY","11223-1933",11,2,23,23,
"Yeshiva Ohr Yisrael","NY","11229",11,2,0,0,
"Yeshiva Sholom Shachna","NY","11230",11,2,18,18,
"Bethlehem College & Seminary","MN","55415-1793",11,4,61,64,58
"Beth Medrash Meor Yitzchok","NY","10952-4023",21,2,0,0,
"San Ignacio University","FL","33178-2350",13,5,100,100,100
"Valor Christian College","OH","43110",11,3,,,
"Bethany Global University","MN","55438-2849",13,4,56,50,57
"United International College","FL","33025-3943",21,5,100,100,
"California Jazz Conservatory","CA","94704-1268",12,8,100,100,
"Kennesaw State University","GA","30144",21,5,49,44,53
"Milligan University","TN","37682",22,5,70,58,79
"Chamberlain University-Nevada","NV","89144",11,8,0,,0
"Chamberlain University-New Jersey","NJ","08902",21,2,100,,100
"Hussian College-Los Angeles","CA","90017-2019",11,8,49,33,60
"Husson University","ME","04401-2929",13,1,54,46,62
"Northwest University-Center for Online and Extended Education","WA","98033",21,8,40,42,38
"Yeshiva Zichron Aryeh","NY","11691-0000",11,2,60,60,
"Yeshivas Maharit D'Satmar","NY","10950",21,2,46,46,
"Elim Bible Institute and College","NY","14485-9704",31,2,,,
"Beth Medrash of Asbury Park","NJ","08701-5842",21,2,0,0,
"Yeshiva Gedolah Shaarei Shmuel","NJ","08701-3623",13,2,18,18,
"Seattle Film Institute","WA","98119-1707",11,8,,,
"Indiana Wesleyan University-National & Global","IN","46953",41,3,,,
"University of the People","CA","91101",12,8,13,14,12
"Purdue University Global","IN","47906",13,3,30,29,30
"Carolina University","NC","27101",12,5,46,54,38
"Presbyterian Theological Seminary in America","CA","90670-5611",21,8,100,100,100
"HCI College","FL","33409-5189",21,5,,,
"Westcliff University","CA","92614",11,8,67,62,81
"Yeshiva Shaar Ephraim","NY","10952-2732",21,2,17,17,
"Yeshiva Bais Aharon","NJ","08701-2053",13,2,4,4,
"Bais Medrash Mayan Hatorah","NJ","08701",13,2,13,13,
"Purdue University Northwest","IN","46323",21,3,40,40,41
"Yeshiva Kollel Tifereth Elizer","NY","11219",11,2,7,7,
"Union Bible College","IN","46074-0900",21,3,38,50,0
"Yeshiva Gedolah Tiferes Boruch","NJ","07060-0000",21,2,0,0,
"Yeshiva Chemdas Hatorah","NJ","08701-4618",21,2,38,38,
"Women's Institute of Torah Seminary and College","MD","21215-3009",11,2,50,,50
"Yeshiva Gedolah Keren Hatorah","NJ","08701-1239",13,2,5,5,
"Yeshiva Gedolah of Cliffwood","NJ","07735-5105",21,2,8,8,
"Yeshivas Emek Hatorah","NJ","07731-2444",21,2,4,4,
"Yeshiva Gedola Tiferes Yerachmiel","NJ","08701-0000",13,2,0,0,
"Drury University-College of Continuing Professional Studies","MO","65802",12,4,26,25,26
"Indiana Institute of Technology-College of Professional Studies","IN","46803",11,3,10,13,9
"Yeshiva of Ocean","NY","12435-5308",42,2,13,13,
"Yeshivat Hechal Shemuel","NY","11230-0000",11,2,0,0,
"Yeshiva Gedolah of Woodlake Village","NJ","08701-0000",21,2,5,5,
"Yeshiva Gedola Tiferes Yaakov Yitzchok","NJ","08701-5502",21,2,24,24,
"Faith Theological Seminary and Christian College","FL","33615",21,5,33,29,38
"Southwestern Baptist Theological Seminary","TX","76115",11,6,29,24,38
"Christ Mission College","TX","78254-1000",21,6,50,0,67
"Urshan College","MO","63385",21,4,31,14,44
"Indian Bible College","AZ","86004-1919",13,6,50,50,
"The Pennsylvania State University","PA","16802-1503",13,2,73,70,76
"California Northstate University","CA","95757-3001",21,8,100,100,
"Antigua College International","FL","33016-1511",21,5,51,33,58
"Lakewood University","OH","44112-3044",21,3,,,
